ALLOT_NAME,ALLOT_NO,PAST_NAME,PAST_NO,herb,upland,water,woody
Ryegrass/North Hayden,06207,Ryegrass Upper,02,0.6653371735533142,0.001157331,7.034755322132784E-4,0.33280202
Roostercomb,06208,Roostercomb,01,0.13304798420464561,0.079897539,0.023629676006143217,0.7634248003568705
Roostercomb,06208,Meadow Creek,02,0.016003013490938352,0.017505144794571794,0.15965171455631694,0.8068401271581729
Little Sawmill/South Hayden,06209,Meadow Mountain,06,0.026938746,0.004564413,0.15159707184133034,0.8168997687506747
Little Sawmill/South Hayden,06209,Indian Caves,02,0.075408298,0.077721111,0.061691658,0.7851789338215226
Little Sawmill/South Hayden,06209,Zeph Creek,07,0.032447165,0.032985051,0.18677194748754253,0.7477958365224449
Little Sawmill/South Hayden,06209,Mill Creek,05,0.015166720450571039,0.075004393,0.10589945021269903,0.8039294359088488
Little Sawmill/South Hayden,06209,Bergreen Gulch,01,0.059779304,0.13392379060415335,0.010309605,0.7959873005881006
Little Sawmill/South Hayden,06209,Antone,04,0.026600788,0.022297795179133287,0.184734845,0.7663665727112282
Little Sawmill/South Hayden,06209,Beds,08,0.075537692,0.06403936,0.049947707,0.8104752408350917
Little Sawmill/South Hayden,06209,Mill Creek Flat,03,0.042012164755781525,0.095842384,0.15680448540397154,0.7053409656824072
Mill Creek,06210,Mill Creek,01,,0.24067457054435096,0.0114372,0.7478882294018269
Walters,06211,Ferry Creek,02,,,,
Walters,06211,Walters,01,0.001590876,0.028004092,0.038830018297652175,0.9315750129667877
Big Springs,06213,Big Spring,01,0.008327378,0.066418526,0.008162317,0.9170917781689105
Everson Creek,06215,Everson Creek,01,4.601929119904608E-4,0.032241962415594426,0.016810658336382615,0.9504871863360326
Tendoy Grave,06217,Tendoy Grave,01,0.034262387687048874,0.035501175,0.043466005,0.8867704314915706
Dump,06219,Dump,01,,,,
Milk Creek,06223,Milk Creek,01,,0.1380792817854207,,0.8619207182145793
Timber Creek,06224,Upper,02,0.016408516365294713,0.054816549,0.031255552434177075,0.8975193824448165
Timber Creek,06224,Lower,01,0.025409532,0.12440822252519207,0.050636168,0.7995460777036167
Leadore Hill,06225,Upper,02,0.034171674009041635,0.084360807,0.029016546961887983,0.8524509724985138
Leadore Hill,06225,Lower,01,0.098407935,0.18346820418571833,0.005363553,0.7127603076771111
Sandy Creek,06226,Sandy Creek,01,0.007796126,0.078160896,0.063321073,0.8507219053339027
Kenney Creek,06227,Kenney Creek,01,0.010344708311064656,0.10566837381485075,0.056556515,0.8274304024147574
Rattlesnake,06228,Cliff,02,0.007973011,0.048549220689374416,0.058401054,0.8850767142396088
Rattlesnake,06228,Rattlesnake Draw,03,0.012961611024321988,0.072565779,0.022613853357377103,0.8918587571006066
Rattlesnake,06228,Powerline,01,0.034753559,0.6830449213598769,1.8375544240383825E-4,0.28201776446731813
Pritchard Gulch,06233,Upper Pritchard,03,3.3198833348972864E-4,0.023077288,0.1971753259098458,0.7794153977423957
Pritchard Gulch,06233,Lower Pritchard,01,8.420747045876327E-4,0.025563247951920807,0.089822387,0.8837722899733096
Pritchard Gulch,06233,Middle Pritchard,02,,0.031694606173655986,0.014554570222477432,0.9537508236038666
Big Dry Canyon,06234,Middle,02,2.077470345914754E-4,0.040530221,0.184240659,0.7750213725215618
Big Dry Canyon,06234,Lower,01,8.551810317928176E-4,0.036523133333542665,0.2208395553649813,0.7417821302696832
Napo Canyon,06235,Napo Canyon,01,0.001038356,0.07006239,0.053566127,0.8753331269653771
Napo Canyon,06235,East Side,04,0.003280882,0.063832654,0.29503481206977955,0.6378516524293105
Napo Canyon,06235,Napo Flats,02,,0.737115544,,0.26288445552784706
Napo Canyon,06235,Little Dry,03,0.001465128,0.13099020867335762,0.041396106,0.8261485567622149
Yearian Creek,06236,Lower Reese,02,3.0191851818348666E-4,0.17232395846358903,0.008449355,0.818924768
Yearian Creek,06236,Dump,01,,,,
Yearian Creek,06236,Upper Yearian,05,0.004199143,0.092208986,0.049829783,0.8537620871894582
Yearian Creek,06236,Reservoir,04,0.004533685,0.15356398715607059,0.031921035305997575,0.8099812924535975
Yearian Creek,06236,Ramsey MTN.,03,0.001555449,0.062358896,0.2666833327089049,0.6694023222764146
Yearian Creek,06236,Upper Reese,06,9.187939433535844E-4,0.089092022,0.037103304,0.8728858805357835
Yearian Creek,06236,South Fork,08,0.002981143,0.12645776215122367,0.024601369,0.8459597265876867
Yearian Creek,06236,Peterson Creek,07,0.001022976,0.099287531,0.025309345503028942,0.8743801480257892
Yearian Creek,06236,Stone Quarry,09,0.00248686,0.14124581168278846,0.10557316477445539,0.7506941633119426
Lower Reese Creek,06237,Lower Reese Creek,01,,,,
Cedar Gulch,06238,Cedar Gulch,03,3.42828634802465E-4,0.07616063,0.013521718070155744,0.9099748237054754
Cedar Gulch,06238,Middle,02,,0.15056922852134444,0.006892135,0.8425386366727432
Cedar Gulch,06238,Lower,01,0.003546175,0.22147842426682787,0.006630853,0.7683445481965006
Little Eightmile,06239,Little Eightmile,01,4.418783389562878E-4,0.12325822797711179,0.001669784,0.8746301101345111
Mollie Gulch,06240,Mollie Gulch,01,0.033001607658708236,0.070878298,0.008279074,0.8878410204772561
Jakes Canyon,06241,South,02,0.022697056,0.16281367676694494,7.943830152549425E-5,0.8144098291658418
Jakes Canyon,06241,North,01,,,,
Turner,06242,Turner,01,,,,
NEF 3,06243,NEF 3,01,0.005687883,0.035430112851351996,0.014895808738024027,0.943986196
South Gulch,06248,South Gulch,01,0.004292646,0.011231381669193144,0.21590151931458026,0.768574453
Freestrip,06301,Bell Field,02,0.13831651920859364,0.034197793,0.04693703,0.7805486578276198
Freestrip,06301,Frank Hall,03,0.012365342,0.3553005046434527,0.078711628,0.5536225246500891
Freestrip,06301,Switchback,04,0.001494349,0.15882133183898375,0.026104417670682726,0.8135799009993464
Freestrip,06301,Freestrip,01,0.14822090354184306,0.058379537906183436,0.07969307,0.7137064883562872
Leadore,06302,South,02,0.021258767040135653,0.19153380440683737,0.082846301,0.7043611276629178
Leadore,06302,Middle,03,,,,
Leadore,06302,North,01,,,,
